"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","6,161.82","6,178.43","6,224.47","6,116.62","","-0.24%"
"06/30/2025","6,176.52","6,206.92","6,224.17","6,136.09","","-0.04%"
"06/26/2025","6,178.96","6,098.44","6,178.96","6,064.50","","1.28%"
"06/25/2025","6,101.03","6,178.88","6,178.88","6,073.20","","-0.64%"
"06/24/2025","6,140.48","6,134.73","6,208.18","6,122.93","","1.76%"
"06/23/2025","6,034.19","6,045.14","6,068.17","5,968.78","","-1.48%"
"06/20/2025","6,125.00","6,151.26","6,191.69","6,085.67","","-0.96%"
"06/19/2025","6,184.45","6,319.53","6,326.54","6,159.73","","-2.31%"
"06/18/2025","6,330.83","6,361.91","6,376.73","6,308.18","","-0.93%"
"06/17/2025","6,390.02","6,403.15","6,431.17","6,380.29","","0.58%"
"06/16/2025","6,353.14","6,375.14","6,420.24","6,353.14","","-0.77%"
"06/13/2025","6,402.69","6,428.98","6,441.26","6,374.49","","-0.92%"
"06/12/2025","6,462.12","6,464.12","6,480.10","6,434.91","","-0.16%"
"06/11/2025","6,472.47","6,506.82","6,506.82","6,440.94","","-0.84%"
"06/10/2025","6,527.53","6,431.49","6,527.53","6,431.49","","2.13%"
"06/05/2025","6,391.62","6,376.06","6,405.70","6,359.55","","0.73%"
"06/04/2025","6,345.23","6,420.55","6,426.95","6,334.42","","-0.46%"
"06/03/2025","6,374.69","6,389.29","6,414.05","6,300.44","","-0.28%"
"06/02/2025","6,392.79","6,458.61","6,488.62","6,365.18","","-2.78%"
"05/28/2025","6,575.49","6,624.27","6,637.02","6,569.09","","-0.61%"
"05/27/2025","6,615.97","6,626.86","6,640.36","6,575.41","","-0.10%"
"05/26/2025","6,622.43","6,646.98","6,653.62","6,555.05","","-0.34%"
"05/23/2025","6,644.96","6,659.86","6,668.10","6,597.81","","0.62%"
"05/22/2025","6,604.14","6,628.38","6,636.39","6,582.26","","0.13%"
"05/21/2025","6,595.59","6,567.03","6,631.64","6,545.63","","1.07%"
"05/20/2025","6,525.86","6,582.99","6,643.60","6,525.86","","-0.71%"
"05/19/2025","6,572.22","6,515.97","6,596.36","6,487.96","","0.74%"
"05/16/2025","6,524.24","6,512.99","6,524.24","6,407.76","","1.12%"
"05/15/2025","6,452.24","6,392.73","6,503.49","6,392.73","","1.23%"
"05/14/2025","6,374.04","6,290.16","6,377.27","6,286.81","","3.31%"
"05/09/2025","6,169.69","6,193.19","6,210.68","6,147.20","","0.08%"
"05/08/2025","6,164.45","6,278.98","6,310.78","6,153.76","","-1.57%"
"05/07/2025","6,262.99","6,268.96","6,289.42","6,243.39","","0.36%"
"05/06/2025","6,240.58","6,233.91","6,269.30","6,221.65","","0.56%"
"05/05/2025","6,205.72","6,221.57","6,266.85","6,200.37","","0.24%"
"05/02/2025","6,190.95","6,208.18","6,210.82","6,132.87","","0.83%"
"04/30/2025","6,139.99","6,080.93","6,150.20","6,039.35","","1.04%"
"04/29/2025","6,076.73","6,095.88","6,098.42","6,052.21","","0.09%"
"04/28/2025","6,071.31","6,077.00","6,092.17","6,045.01","","0.84%"
"04/25/2025","6,020.67","6,032.67","6,041.41","5,995.50","","0.99%"
"04/24/2025","5,961.73","6,078.16","6,099.08","5,941.97","","-1.10%"
"04/23/2025","6,028.12","5,923.74","6,028.12","5,923.74","","2.65%"
"04/22/2025","5,872.34","5,804.45","5,876.04","5,802.75","","1.06%"
"04/21/2025","5,810.66","5,849.55","5,849.93","5,776.77","","-0.57%"
"04/17/2025","5,844.21","5,830.03","5,845.71","5,788.76","","0.27%"
"04/16/2025","5,828.58","5,878.88","5,878.88","5,785.16","","-0.85%"
"04/15/2025","5,878.57","5,913.00","5,924.61","5,829.81","","0.32%"
"04/14/2025","5,859.72","5,711.67","5,859.72","5,711.67","","1.55%"
"04/11/2025","5,770.42","5,688.52","5,793.25","5,639.26","","-0.18%"
"04/10/2025","5,780.87","5,904.38","5,938.42","5,762.46","","4.72%"
"04/09/2025","5,520.20","5,489.65","5,633.27","5,489.65","","0.40%"
"04/08/2025","5,498.39","5,926.71","5,926.71","5,283.94","","-8.47%"
"03/27/2025","6,007.05","5,946.44","6,007.05","5,891.15","","0.50%"
"03/26/2025","5,977.42","5,796.40","6,007.97","5,791.72","","5.36%"
"03/25/2025","5,673.16","5,615.67","5,700.85","5,595.24","","1.98%"
"03/24/2025","5,563.16","5,587.69","5,634.13","5,377.21","","-1.18%"
"03/21/2025","5,629.61","5,744.79","5,744.79","5,576.52","","-2.62%"
"03/20/2025","5,780.85","5,826.74","5,837.12","5,749.57","","0.26%"
"03/19/2025","5,766.12","5,731.12","5,787.86","5,663.02","","0.91%"
"03/18/2025","5,713.97","5,900.17","5,918.38","5,522.95","","-3.30%"
"03/17/2025","5,908.95","5,942.17","5,966.13","5,874.76","","-0.21%"
"03/14/2025","5,921.64","5,971.60","6,022.46","5,921.64","","-1.85%"
"03/13/2025","6,033.53","6,165.71","6,165.71","6,033.53","","-1.44%"
"03/12/2025","6,121.92","6,021.77","6,121.92","6,021.77","","2.29%"
"03/11/2025","5,984.87","5,977.76","6,016.48","5,941.53","","-0.73%"
"03/10/2025","6,029.05","6,034.76","6,063.78","5,991.74","","-1.07%"
"03/07/2025","6,094.12","6,139.13","6,142.03","6,072.06","","-0.61%"
"03/06/2025","6,131.34","6,168.03","6,208.00","6,131.32","","0.56%"
"03/05/2025","6,097.38","5,943.75","6,141.00","5,943.75","","2.95%"
"03/04/2025","5,922.90","6,005.82","6,010.50","5,886.76","","-1.05%"
"03/03/2025","5,985.84","5,814.79","6,047.16","5,786.60","","5.32%"
"02/28/2025","5,683.74","5,846.31","5,868.10","5,683.64","","-3.68%"
"02/27/2025","5,900.70","6,059.04","6,065.17","5,864.78","","-2.65%"
"02/26/2025","6,061.06","6,074.33","6,123.15","5,997.34","","-0.08%"
"02/25/2025","6,065.76","6,211.77","6,242.73","6,065.76","","-2.66%"
"02/24/2025","6,231.57","6,254.63","6,268.04","6,190.72","","-0.68%"
"02/21/2025","6,274.44","6,264.75","6,292.63","6,227.14","","-0.39%"
"02/20/2025","6,299.30","6,308.91","6,335.84","6,255.89","","-0.45%"
"02/19/2025","6,327.50","6,477.16","6,483.32","6,306.02","","-2.55%"
"02/18/2025","6,493.02","6,468.34","6,577.71","6,449.71","","0.57%"
"02/17/2025","6,456.40","6,259.21","6,457.53","6,259.21","","3.59%"
"02/14/2025","6,232.92","6,255.83","6,298.67","6,196.39","","0.13%"
"02/13/2025","6,224.65","6,259.35","6,269.78","6,191.43","","-1.16%"
"02/12/2025","6,297.82","6,165.02","6,297.82","6,165.02","","1.96%"
"02/11/2025","6,176.66","6,204.48","6,263.11","6,148.88","","-1.26%"
"02/10/2025","6,255.45","6,257.77","6,325.32","6,215.66","","-1.41%"
"02/07/2025","6,345.04","6,257.53","6,345.04","6,162.85","","0.83%"
"02/06/2025","6,292.69","6,474.47","6,474.47","6,242.03","","-3.14%"
"02/05/2025","6,496.40","6,540.18","6,554.64","6,480.19","","-1.20%"
"02/04/2025","6,575.50","6,585.34","6,637.54","6,536.09","","0.04%"
"02/03/2025","6,572.92","6,608.24","6,608.24","6,471.07","","-1.01%"
"01/31/2025","6,639.99","6,601.15","6,718.35","6,592.49","","1.53%"
"01/30/2025","6,539.71","6,578.59","6,604.88","6,526.08","","-1.51%"
"01/24/2025","6,639.99","6,789.05","6,795.42","6,639.99","","-1.64%"
"01/23/2025","6,750.93","6,778.64","6,838.71","6,750.93","","-0.22%"
"01/22/2025","6,766.02","6,741.21","6,779.58","6,735.84","","1.30%"
"01/21/2025","6,679.04","6,716.00","6,772.19","6,679.04","","-0.02%"
"01/20/2025","6,680.17","6,719.28","6,727.29","6,680.17","","-0.19%"
"01/17/2025","6,692.71","6,639.29","6,730.35","6,596.20","","0.74%"
"01/16/2025","6,643.32","6,745.53","6,770.67","6,643.32","","0.19%"
"01/15/2025","6,630.58","6,458.55","6,633.77","6,454.59","","3.39%"
"01/14/2025","6,413.35","6,474.19","6,534.35","6,413.35","","-1.42%"
"01/13/2025","6,505.82","6,538.20","6,577.02","6,494.03","","-1.11%"
"01/10/2025","6,578.96","6,612.35","6,658.96","6,578.96","","-0.49%"
"01/09/2025","6,611.11","6,617.20","6,644.54","6,609.57","","0.28%"
"01/08/2025","6,592.71","6,583.76","6,630.78","6,552.73","","0.64%"
"01/07/2025","6,550.89","6,595.79","6,616.36","6,547.40","","-0.95%"
"01/06/2025","6,613.91","6,731.00","6,735.18","6,603.48","","-1.58%"
"01/03/2025","6,720.04","6,739.03","6,765.65","6,699.10","","-0.23%"
"01/02/2025","6,735.59","6,632.49","6,735.59","6,632.49","","1.63%"
"12/30/2024","6,627.48","6,608.75","6,638.45","6,585.36","","-0.16%"
